YEAR,DIVISION,EXPENDITURE
2014,D11,25008526
2014,D12,24858615
2014,D13,21740037
2014,D14,31984099
2014,D22,25545555
2014,D23,28572423
2014,D31,29603016
2014,D32,26708503
2014,D33,20299272
2014,D41,28691149
2014,D42,25808794
2014,D43,29912546
2014,D51,31724579
2014,D52,29684845
2014,D53,21101014
2014,D55,48342794
2015,D11,24750616
2015,D12,25082191
2015,D13,21220411
2015,D14,31907193
2015,D22,25282846
2015,D23,28471672
2015,D31,29504328
2015,D32,26548769
2015,D33,19961364
2015,D41,29264375
2015,D42,26066607
2015,D43,30217263
2015,D51,30721149
2015,D52,29751451
2015,D53,21210673
2015,D55,48035808
2016,D11,26089372
2016,D12,26236910
2016,D13,22529606
2016,D14,33192886
2016,D22,25726037
2016,D23,29473511
2016,D31,30500441
2016,D32,27833676
2016,D33,20667514
2016,D41,29825234
2016,D42,27311786
2016,D43,30997929
2016,D51,32616473
2016,D52,31195491
2016,D53,22042041
2016,D55,48977354
2017,D11,25070751
2017,D12,25881117
2017,D13,21983725
2017,D14,33269692
2017,D22,25237401
2017,D23,28801591
2017,D31,29955986
2017,D32,26997650
2017,D33,21075431
2017,D41,28928703
2017,D42,26916699
2017,D43,30798016
2017,D51,32307596
2017,D52,31038733
2017,D53,22400750
2017,D55,47121977
2018,D11,25553065
2018,D12,26394439
2018,D13,21832617
2018,D14,33809644
2018,D22,25078539
2018,D23,27553169
2018,D31,29266023
2018,D32,27032397
2018,D33,20772921
2018,D41,28213125
2018,D42,26940694
2018,D43,31387618
2018,D51,32519191
2018,D52,30407956
2018,D53,21654240
2018,D55,45918361
2019,D11,25104991
2019,D12,25536259
2019,D13,21077199
2019,D14,33360434
2019,D22,25536153
2019,D23,26738022
2019,D31,28053161
2019,D32,26933802
2019,D33,20068625
2019,D41,28109185
2019,D42,26036942
2019,D43,30885298
2019,D51,34386976
2019,D52,31418489
2019,D53,21579556
2019,D55,43026489
2020,D11,25575001
2020,D12,25839834
2020,D13,20044957
2020,D14,35039845
2020,D22,26946022
2020,D23,27644106
2020,D31,29411479
2020,D32,28289377
2020,D33,20332669
2020,D41,28286361
2020,D42,26436068
2020,D43,32165250
2020,D51,35700049
2020,D52,33295910
2020,D53,21887143
2020,D55,39942730
2021,D11,25174886
2021,D12,24609218
2021,D13,20346187
2021,D14,36143540
2021,D22,27897601
2021,D23,28189159
2021,D31,29216516
2021,D32,28905960
2021,D33,20109047
2021,D41,28395024
2021,D42,26853221
2021,D43,33546159
2021,D51,36719363
2021,D52,33334311
2021,D53,22688977
2021,D55,40409192
2022,D11,24870025
2022,D12,23987249
2022,D13,21081098
2022,D14,37129357
2022,D22,28867638
2022,D23,28613237
2022,D31,28197196
2022,D32,29643459
2022,D33,19904496
2022,D41,29226646
2022,D42,27942638
2022,D43,34259288
2022,D51,38338789
2022,D52,33063688
2022,D53,23496802
2022,D55,40017957
2023,D11,24460722
2023,D12,25060142
2023,D13,21981994
2023,D14,39282992
2023,D22,30392972
2023,D23,30111469
2023,D31,30520833
2023,D32,31350877
2023,D33,21215982
2023,D41,30702743
2023,D42,28421342
2023,D43,35220553
2023,D51,41349678
2023,D52,35955989
2023,D53,24508541
2023,D55,40852405
